Race,Gender,n,base_rate,positive_pred_rate,TPR,FPR,FNR,TNR
BLACK,F,1082,0.2245841035120148,0.3853974121996303,0.5967078189300411,0.32419547079856975,0.40329218106995884,0.6758045292014303
BLACK,M,13765,0.31834362513621506,0.48201961496549217,0.6622546782291191,0.39784717041457957,0.3377453217708809,0.6021528295854205
WHITE,F,2085,0.20239808153477218,0.3645083932853717,0.5829383886255924,0.3090799759470836,0.41706161137440756,0.6909200240529164
WHITE,M,8903,0.30068516230484105,0.47208806020442545,0.6884572282405678,0.37905557340186313,0.3115427717594322,0.6209444265981369
