Race,Gender,n,base_rate,positive_pred_rate,TPR,FPR,FNR,TNR
BLACK,F,347,0.21037463976945245,0.20461095100864554,0.4520547945205479,0.1386861313868613,0.547945205479452,0.8613138686131386
BLACK,M,4189,0.3151110050131296,0.39221771305800907,0.6325757575757576,0.28163123039386545,0.36742424242424243,0.7183687696061345
WHITE,F,583,0.17495711835334476,0.20754716981132076,0.5392156862745098,0.13721413721413722,0.46078431372549017,0.8627858627858628
WHITE,M,2632,0.3123100303951368,0.3343465045592705,0.5985401459854015,0.2143646408839779,0.40145985401459855,0.7856353591160221
