accuracy,precision,recall,f1,auroc,auprc,brier,fold,model
0.6313141087671763,0.4255055716054478,0.6677461139896373,0.5197882530879758,0.6999881299527058,0.4716750127874598,0.22052303170051518,1,logistic_regression
0.6286046061544417,0.4221482098251457,0.6563106796116505,0.5138079554091716,0.691292693518037,0.48937711041841314,0.22245110001995905,2,logistic_regression
0.6324753241726341,0.42625,0.6621359223300971,0.5186311787072243,0.6953497057714542,0.47200563218610736,0.22214956222024762,3,logistic_regression
0.6464099090381266,0.4414451827242525,0.6880258899676376,0.5378193776878321,0.7166542470590549,0.500873314451468,0.2160894413239635,4,logistic_regression
0.6289916779562609,0.42191435768261965,0.6504854368932039,0.5118411000763942,0.7000827378176158,0.48646642852921507,0.21886547322515948,5,logistic_regression
0.6824075866073157,0.4689301729660474,0.4740932642487047,0.4714975845410628,0.6931313899825382,0.46370637077245747,0.2038898817027289,1,random_forest
0.6791174762918522,0.4647535870243294,0.48220064724919093,0.4733163913595934,0.6846012948557807,0.46782184966165896,0.20575255591580757,2,random_forest
0.6833752661118637,0.46980756469807566,0.458252427184466,0.4639580602883355,0.6927122814729834,0.46216012856900823,0.20411905032063352,3,random_forest
0.698471066382814,0.4956982131039047,0.484789644012945,0.49018324607329844,0.7141051002592929,0.49621282117227933,0.1988956218035139,4,random_forest
0.6818269789045868,0.46833013435700577,0.47378640776699027,0.47104247104247104,0.6896818972156848,0.4778023296417699,0.20326098657436392,5,random_forest
