accuracy,precision,recall,f1,auroc,auprc,brier,fold,model
0.6353783626862783,0.42863140218303947,0.6612694300518135,0.5201222618441161,0.7004539935558515,0.47192085278124957,0.21997093811191637,1,logistic_regression
0.6332494677762724,0.427022518765638,0.6627831715210356,0.519401470961197,0.6938389811275574,0.49062347549873103,0.22174190400294616,2,logistic_regression
0.6351848267853687,0.42981007431874485,0.6737864077669903,0.5248298462314092,0.6974410247337826,0.47323881536712425,0.22202629174705096,3,logistic_regression
0.6450551577317593,0.4402151427389326,0.6886731391585761,0.5371024734982333,0.7203563623237353,0.5038205205621515,0.21492013149956327,4,logistic_regression
0.6293787497580802,0.4222689075630252,0.6504854368932039,0.5121019108280255,0.7016604747327998,0.4866461507091967,0.2185447778719357,5,logistic_regression
0.6843429456164118,0.47173489278752434,0.47020725388601037,0.470969834576711,0.6955595654704615,0.46809689945868543,0.2028555884166215,1,random_forest
0.6793110121927618,0.46486825595984943,0.4796116504854369,0.4721248805352023,0.6891509813277008,0.47290688969915323,0.20455910415585477,2,random_forest
0.6855041610218695,0.47357992073976224,0.4640776699029126,0.4687806472703498,0.6950151805131889,0.4644288460633176,0.2037599266399617,3,random_forest
0.7067931101219276,0.5100942126514132,0.4906148867313916,0.5001649620587265,0.7198685129887652,0.502096921969779,0.19783152189353034,4,random_forest
0.6762144377782079,0.46024844720496894,0.4796116504854369,0.4697305863708399,0.6926295436553676,0.4815847002016267,0.20277146481045288,5,random_forest
