model,accuracy,precision,recall,f1,auroc,auprc,brier
random_forest,0.7159076248226035,0.5211786372007366,0.6107034958998705,0.5624006359300477,0.7636922625792081,0.5502619979010325,0.18447227369151045
logistic_regression,0.6928138304734873,0.49059376837154617,0.7203280103582218,0.5836684735093548,0.7618516798831634,0.5551370597382728,0.20011185193560346
