Race,Gender,n,base_rate,positive_pred_rate,TPR,FPR,FNR,TNR
BLACK,F,1082,0.2245841035120148,0.26247689463955637,0.4609053497942387,0.20500595947556616,0.5390946502057613,0.7949940405244339
BLACK,M,13765,0.31834362513621506,0.5163821285869961,0.6983112733911456,0.43141852286049237,0.30168872660885443,0.5685814771395076
WHITE,F,2085,0.20239808153477218,0.19136690647482013,0.3459715639810427,0.15213469633193025,0.6540284360189573,0.8478653036680698
WHITE,M,8903,0.30068516230484105,0.4726496686510165,0.6862159133358237,0.38082235785415997,0.31378408666417634,0.61917764214584
